Bucket Number,Bucket
-1,"network, packet, time, link, data, bit, tcp, router"
0,"fiber, cable, twisted, twisted pair, modem, pair, copper, adsl"
1,"dns, dns server, domain, query, record, server, edu, hostname"
2,"mail, mail server, user agent, email, smtp, agent, transfer, folder"
3,"cipher, ciphertext, block, encryption, plaintext, key, decryption, block cipher"
4,"fig, shown fig, fig example, shown, example fig, listed fig, illustrated fig, illustrated"
5,"page, browser, web page, web, plug, url, display, plug in"
6,"ack, retransmit, duplicate, retransmission, lost, segment, acks, timeout"
7,"isps, isp, tier, access isps, tier isps, regional, provider, global transit"
8,"band, ghz, frequency, spectrum, mhz, frequency band, spread, spread spectrum"
9,"alice, bob, trudy, message alice, alice bob, message, talking, alice sends"
10,"telephone, telephone network, telephone company, company, office, bell, end office, call"
11,"sdn, controller, plane, control plane, sdn controller, control, openflow, sdn control"
12,"agent, foreign, home agent, mobile node, foreign agent, mobile, coa, home"
13,"copyright, privacy, law, court, dmca, government, copyrighted, people"
14,"byte, length, header, field, length field, variable length, field byte, payload"
15,"cache, caching, web cache, cached, proxy, object, web, cached copy"
16,"protocol, new protocol, protocol protocol, protocol work, protocol simple, protocol handle, problem protocol, use protocol"
17,"satellite, earth, communication satellite, orbit, communication, altitude, ground, orbit satellite"
18,"reliable, reliable data, data transfer, reliable data transfer, transfer, service, provides reliable, unreliable"
19,"important, detail, subtle, subtle important, simplicity, distinction, practice, important subtlety"
20,"rfid, tag, reader, rfid tag, rfid reader, epc, backscatter, identifier"
21,"mbps, gbps, mbps link, rate mbps, mbps mbps, rate, link, link mbps"
22,"cdn, cdn node, cdns, cluster, content, sydney, cdn server, akamai"
23,"sip, invite, invite message, registrar, sip message, proxy, bob, yes"
24,"header, header line, line, response, request message, http, message, response message"
25,"datagram, datagrams, ipv datagram, datagram host, ipv, destination, ip datagram, send datagram"
26,"bucket, token, token bucket, leaky, leaky bucket, water, burst, rate"
27,"ethernet, classic ethernet, ethernet ethernet, classic, switched ethernet, switched, fddi, ethernet card"
28,"udp, tcp udp, udp tcp, protocol udp, connectionless, transport protocol, transport protocol udp, transport"
29,"mpeg, compression, video, audio, mp, video compression, compress, quality"
30,"rfc, rfcs, defined rfc, rfc rfc, described rfc, defined, described, rfc rfc rfc"
31,"subnet, subnets, subnet address, mask, subnet mask, prefix, support interface, address form"
32,"output port, port, input port, fabric, output, input, switching fabric, switching"
33,"ip address, ip, address, ip addressing, host ip address, host ip, host, address ip"
34,"firewall, filter, stateful, packet filter, control list, access control list, organization, rule"
35,"ssl, ssl record, record, tl, version ssl, ssl protocol, socket layer, ure"
36,"key, bob, alice, public key, public, bob public, bob public key, session key"
37,"signature, digital signature, signed, digital, hash, document, private key, signed document"
38,"parity, error, bit error, parity bit, bit, single bit error, single bit, row"
39,"web, site, world wide web, wide web, search, world wide, popular, unpopular"
40,"urity, web urity, url, urity urity, uris, urity problem, issue, uniform resource"
41,"multicast, group, multicasting, anycast, multicast routing, tree, member, multicast address"
42,"university, engineering, science, professor, mit, electrical engineering, inspired, professionally"
43,"skype, voice, video, conference, voice video, conversational, conferencing, video conference"
44,"radio, microwave, interference, antenna, range, radio wave, range radio, microwave oven"
45,"arp, arp query, arp table, mac address, mac, address arp, arp module, arp packet"
