Bucket Number,Bucket
-1,"process, page, memory, user, thread, file, data, operating"
0,"cache, caching, cached, buffer cache, cache manager, cache line, cache block, page cache"
1,"interrupt, interrupt handler, handler, interrupt vector, vector, interrupt interrupt, interrupt controller, routine"
2,"window, win, api, window window, version window, microsoft, win api, vista"
3,"deadlock, deadlocked, deadlock occur, resource deadlock, deadlock detection, resource, detection, occur"
4,"block, block file, free block, file block, disk block, block size, free, indirect block"
5,"driver, device driver, device, driver object, driver device, window driver, device object, wdm"
6,"virtualization, virtual machine, machine, virtual, virtualized, hardware, support virtualization, environment"
7,"security, attack, attacker, vulnerability, defense, exploit, security chap, bug"
8,"resource, available resource, resource process, release resource, resource available, instance resource, resource type, resource resource"
9,"boot, partition, boot time, loader, bootstrap, boot loader, bios, booting"
10,"virus, antivirus, infect, infected, antivirus program, antivirus software, virus virus, program virus"
11,"key, encryption, cryptography, decryption, public key, encryption algorithm, public, cipher"
12,"buffer, buffering, copy, copying, kernel buffer, buffer buffer, copy write, user space"
13,"power, battery, energy, power management, consumption, power consumption, power manager, management"
14,"tlb, miss, tlb entry, tlb miss, tlbs, entry, entry tlb, translation"
15,"password, password file, salt, encrypted password, onetime password, onetime, encrypted, login"
16,"nevilleneil, saltzer, ellen, herlihy, kurose, brinchhansen, hruby, zhang"
17,"offset, page number, page table, page, address, virtual address, page directory, page offset"
18,"printer, print, output, printed, spooling, plotter, printing, spooler"
19,"mutex, pthread mutex, pthread, mutex lock, lock, mutex pthread, unlock, lock mutex"
20,"semaphore, sem, semaphore semaphore, value semaphore, semaphore operation, value, semaphore value, wait"
21,"operating system, operating, system, embedded system, system operating, embedded, system operating system, operating system operating"
22,"raid, raid level, level, drive, level raid, parity, raid level raid, level raid level"
23,"overflow, attacker, attack, buffer overflow, return address, aslr, canary, buffer"
24,"memory management, management, memory management chap, management chap, memory, management chap memory, chap memory, chap memory management"
25,"problem, solution, solution problem, solved, problem solved, approach, exercise, solution exercise"
26,"bit, bit bit, bit word, integer, bit count, word, count, bit set"
27,"nfs, nfs protocol, nfs server, network file, nfs version, protocol, file nfs, remote"
28,"producer, consumer, item, buffer, producer consumer, item buffer, count, remove"
29,"fork, child, exec, process fork, parent, new process, shell, child process"
30,"tape, tape drive, card, card reader, magnetic tape, magnetic, drive, bluray"
31,"open, open file, opened, close, file opened, open close, file, process open"
32,"inode, inode number, inodes, file inode, directory, file inode number, number, inode structure"
33,"virtual memory, virtual, memory, memory virtual, memory virtual memory, physical memory, memory management, chapter virtual memory"
34,"quantum, time quantum, time, millisecond, msec, quantum millisecond, quantum expires, quantum process"
35,"mobile, io, mobile device, smartphones, tablet, macos, phone, macos io"
36,"shared memory, sharedmemory, shared, sharedmemory object, share memory, memory shared, memory, share"
37,"bsd, freebsd, bsd unix, mach, berkeley, bsd kernel, bsd bsd, unix"
38,"dma, dma controller, controller, transfer, dma transfer, dma channel, dma chip, bus"
39,"instruction, instruction set, privileged, sensitive, privileged instruction, sensitive instruction, execute, instruction execute"
40,"memorymapped, memorymapped file, mapped, mapped file, mapping, map file, map, memory memorymapped"
41,"pagereplacement, replacement, pagereplacement algorithm, page replacement, algorithm, replacement algorithm, lru, page replacement algorithm"
42,"vmware, vmware workstation, esx, workstation, esx server, host operating, vmx, host"
43,"physical address, address, logical address, logical, physical, virtual address, address logical address, address physical address"
44,"clock, timer, tick, clock tick, watchdog, clock timer, time signal, clock driver"
45,"userlevel thread, userlevel, kernel thread, kernellevel, kernellevel thread, thread, thread kernel, thread user"
46,"parallelism, parallel, core, concurrency, run parallel, multicore, task parallelism, concurrent"
47,"priority, priority thread, thread priority, priority class, boost, class, thread, highest"
48,"fault, page fault, page, fault occurs, page fault occurs, occurs, instruction, fault occur"
49,"owner, group, owner group, protection, access, access file, permission, access control"
50,"signal, signal handler, signal sent, process group, handler, signalhandling, signal sent process, kill"
51,"pool, thread pool, executor, java, thread, runnable, executorservice, java thread"
52,"protocol, tcpip, layer, protocol stack, osi, network protocol, networking, network"
53,"bitmap, free, allocation unit, free block, bitmap free, bitblt, free list, bitmap bitmap"
54,"sleep, wake, wakeup, wake lock, awakened, sleep wakeup, waiting bit, wakeup waiting bit"
55,"vmm, guest, vmms, guest guest, guest guest guest, guest vmm, balloon, host"
56,"executable, header file, header, executable file, source file, object file, source, binary"
57,"rpc, remote procedure, stub, procedure, remote, rpcs, client, client stub"
58,"cylinder, head, arm, request cylinder, seek, rpm, rotate, request"
59,"email, camera, email application, picture, camera application, composeactivity, app process, app"
60,"shell, command, command interpreter, interpreter, commandline, shell command, bash, commandline interface"
61,"resource, thread request, resource thread, thread request resource, request resource, resource type, instance resource, thread"
62,"remote, remote file, ftp, client, remote file access, transfer file, transfer, transfer protocol"
63,"nvm, nvm device, nonvolatile, flash, nonvolatile memory, storage, device, flash memory"
64,"backup, dump, incremental, restore, dumping, backup medium, incremental dump, backup program"
65,"link, symbolic link, symbolic, hard link, hard, linking, directory, link file"
66,"error, error condition, exception, error checking, reporting, error code, error reporting, status"
67,"file system, filesystem, filesystem implementation, multiple file, system, multiple file system, implementation, virtual file"
68,"scheduling algorithm, scheduling, algorithm, scheduler, algorithm schedule, schedule, different scheduling, circumstance scheduling"
69,"client, server, client server, clientserver, web, clientserver model, web server, client client"
70,"unix, unix system, unix system work, system work like, version unix, popularity, unix world, unix software"
71,"module, kernel module, symbol, module loaded, kernel, loadable, loading, loaded"
72,"line, esc, escape, line feed, character, escape sequence, carriage return, carriage"
73,"sec, sec sec, sec study, sec operating, sec case, call sec, case sec, result sec"
74,"algorithm, set algorithm, algorithm algorithm, algorithm work, selecting algorithm, working set algorithm, optimal, working set"
75,"openfile table, openfile, table, quota, open, table file, systemwide, open file"
76,"child, parent, wait, exit, wait child, parent process, child process, zombie"
77,"domain, domain domain, executing domain, process executing domain, object domain, process executing, right, access right"
78,"multicore, core, chip, multicore chip, multiprocessor, multicore system, multicores, manycore"
79,"mode, kernel mode, user mode, mode kernel, mode kernel mode, privileged, user mode kernel, mode user mode"
80,"matrix, access matrix, domain, accessmatrix, row, column, access, matrix object"
81,"mft, mft record, record, attribute, fit mft record, fit mft, mft entry, mft file"
82,"priority, higher, scheduling, priority process, higher priority, process priority, lower priority, task assigned"
83,"semaphore, mutex, mutex lock semaphore, lock semaphore, mutex lock, lock, semaphore mutex, mutexes"
84,"sequential, position, position file, read, current position, random access, read write, access file"
85,"binding, job, time, run time, job hour, short job, hour, shortest"
86,"file size, size, maximum size, file smaller, file, maximum, size file, maximum file"
87,"hash, hash table, hash function, hashed, sha, table, hash value, entry hash"
88,"priority, priority class, class, nice value, nice, priority inversion, inversion, normal"
89,"synchronization, statei, synchronization primitive, java, synchronization mechanism, synchronization tool, primitive, traditional synchronization"
90,"page size, size, larger page, larger page size, page, size page, small page size, small page"
91,"page table, guest, shadow page, shadow, shadow page table, hypervisor, table, page"
