Text,Similarities
What is DBMS?,"['0.55', '0.45', '0.42']"
What is Database?,"['0.67', '0.61', '0.56']"
Mention the issues with traditional file-based systems that make DBMS a better choice?,"['0.4', '0.39', '0.37']"
Explain a few advantages of a DBMS.,"['0.51', '0.47', '0.46']"
Explain different languages present in DBMS.,"['0.53', '0.47', '0.44']"
What is meant by ACID properties in DBMS?,"['0.36', '0.32', '0.31']"
Are NULL values in a database the same as that of blank space or zero?,"['0.22', '0.22', '0.21']"
"What are super, primary, candidate, and foreign keys?","['0.66', '0.36', '0.35']"
What is the difference between primary key and unique constraints?,"['0.5', '0.43', '0.24']"
What is meant by DBMS and what is its utility? Explain RDBMS with examples.,"['0.48', '0.44', '0.39']"
What is a checkpoint in DBMS?,"['0.69', '0.4', '0.38']"
What is a database system?,"['0.62', '0.55', '0.54']"
What do you mean by Data Model?,"['0.59', '0.56', '0.53']"
When does checkpoint occur in DBMS?,"['0.62', '0.33', '0.28']"
What is the difference between an entity and an attribute?,"['0.54', '0.53', '0.5']"
What are the various kinds of interactions catered by DBMS?,"['0.53', '0.47', '0.44']"
What do you understand by query optimization?,"['0.68', '0.46', '0.45']"
Do we consider NULL values the same as that of blank space or zero?,"['0.17', '0.16', '0.16']"
What do you understand by aggregation and atomicity?,"['0.52', '0.41', '0.37']"
What are the different levels of abstraction in the DBMS?,"['0.45', '0.45', '0.45']"
What is an entity-relationship model?,"['0.82', '0.58', '0.57']"
"What do you understand by the terms Entity, Entity Type, and Entity Set in DBMS?","['0.45', '0.44', '0.43']"
What do you mean by transparent DBMS?,"['0.61', '0.41', '0.4']"
What are the unary operations in Relational Algebra?,"['0.73', '0.57', '0.5']"
What is RDBMS?,"['0.44', '0.42', '0.41']"
What are the differnt data models?,"['0.55', '0.46', '0.46']"
Define a Relation Schema and a Relation.,"['0.83', '0.66', '0.65']"
What is Degree of relation?,"['0.62', '0.58', '0.55']"
What is Relationship?,"['0.7', '0.62', '0.57']"
What are the disadvantages of file processing systems?,"['0.4', '0.39', '0.34']"
Explain the different types of joins in SQL.,"['0.47', '0.45', '0.45']"
What is the PRIMARY KEY in SQL?,"['0.67', '0.45', '0.41']"
What are constraints?,"['0.63', '0.46', '0.37']"
What’s the difference between DELETE and TRUNCATE statements in SQL?,"['0.41', '0.37', '0.33']"
What is query optimization?,"['0.7', '0.48', '0.47']"
"Given the tables below, select the top three departments with at least ten employees and rank them according to the percentage of their employees making over $100,000 in salary.","['0.5', '0.35', '0.34']"
"Given a users table, write a query to get the cumulative number of new users added by day, with the total reset every month.","['0.29', '0.25', '0.24']"
"Given a table of product subscriptions with a subscription start date and end date for each user, write a query that returns true or false whether or not each user has a subscription date range that overlaps with any other user.","['0.4', '0.33', '0.33']"
"Given a table of students and their SAT test scores, write a query to return the two students with the closest test scores with the score difference.","['0.41', '0.39', '0.34']"
"We’re given two tables, a users table with demographic information and the neighborhood they live in and a neighborhoods table. Write a query that returns all of the neighborhoods that have 0 users.","['0.4', '0.38', '0.32']"
"Given a table of transactions and products, write a query to return the product id, product price, and average transaction price of all products with price greater than the average transaction price.","['0.44', '0.42', '0.42']"
"Let’s say we have two tables, transactions and products. Hypothetically the transactions table consists of over a billion rows of purchases bought by users.","['0.4', '0.34', '0.33']"
